genre,meta_mixed,meta_negative,meta_positive,metascore,movie_title,release_date,user_mixed,user_negative,user_positive,userscore
"Drama,Comedy,Romance",2,0,24,70,Caramel,1-Feb-08,4,3,21,7.6
"Drama,Romance,Crime",3,0,19,75,Boy A,23-Jul-08,3,0,24,8.1
"Drama,Mystery,Thriller,Crime",5,1,31,70,Swimming Pool,2-Jul-03,4,5,18,6.4
"Drama,Music",6,1,22,65,Hearts Beat Loud,8-Jun-18,4,2,21,7.1
Documentary,3,0,22,83,Cutie and the Boxer,16-Aug-13,5,1,20,7.7
"Biography,Documentary",1,0,30,83,De Palma,10-Jun-16,1,2,23,7.7
"Fantasy,Horror,Comedy",4,1,6,67,The Witches of Eastwick,12-Jun-87,5,1,20,7.3
"Comedy,Romance",8,0,19,64,Jack Goes Boating,17-Sep-10,9,2,15,7
"Comedy,Romance",17,8,11,46,Must Love Dogs,29-Jul-05,11,6,9,5.2
"Adventure,Comedy,Animation,Family",10,8,1,36,The Nut Job 2: Nutty by Nature,11-Aug-17,6,12,8,4.2
Documentary,3,0,24,75,Finding Vivian Maier,28-Mar-14,4,1,20,8.1
Thriller,5,4,1,37,Traffik,20-Apr-18,12,7,5,4.3
"Action,Drama,History,Romance,War",0,0,17,83,Henry V,8-Nov-89,5,0,18,7.7
Drama,4,0,25,68,Equity,29-Jul-16,8,4,11,6.2
"Drama,Fantasy,Comedy,Romance",5,0,6,66,L.A. Story,8-Feb-91,7,1,15,7.2
Drama,8,2,17,63,Young & Beautiful,25-Apr-14,5,2,16,6.9
"Adventure,Comedy,Crime",3,2,15,62,"OSS 117: Cairo, Nest of Spies",9-May-08,5,4,14,6.8
Drama,12,4,12,51,Savage Grace,30-May-08,7,7,9,5.7
"Drama,History",1,0,16,75,Taboo,6-Oct-00,5,3,14,6.9
"Drama,Comedy,Romance",5,0,20,69,Starter for 10,23-Feb-07,5,2,15,7.5
"Biography,Drama,Romance",10,0,24,65,Film Stars Don't Die in Liverpool,29-Dec-17,5,1,16,7.1
"Sci-Fi,Drama,Thriller,Romance",17,2,14,57,Code 46,6-Aug-04,6,3,13,6.3
"Drama,Thriller",12,2,4,54,The Riot Club,27-Mar-15,9,5,8,6
Thriller,5,2,1,43,Stephen King’s A Good Marriage,3-Oct-14,13,4,5,4.9
